title,male,culture,dateOfBirth,house,book1,book2,book3,book4,book5,isMarried,isNoble,numDeadRelations,boolDeadRelations,isPopular,popularity,target
Other,1,Other,268.0,Other,0,1,1,0,0,0,0,0,0,0,0.020066889632107,0
Other,1,Other,268.0,Other,0,0,1,0,0,0,0,0,0,0,0.0100334448160535,0
Other,1,Other,268.0,Other,0,0,0,0,0,0,1,0,0,0,0.0133779264214046,0
Other,1,Other,268.0,Other,0,0,0,1,1,0,1,0,0,0,0.0802675585284281,0
Other,1,Other,286.0,Other,1,1,1,1,1,1,0,0,0,0,0.133779264214046,1
Other,1,Other,268.0,Other,1,1,1,1,1,0,1,0,0,0,0.0434782608695652,0
Other,0,Other,268.0,Other,0,0,1,1,0,0,0,0,0,0,0.020066889632107,0
Other,1,Other,268.0,Other,0,0,0,0,0,0,1,0,0,0,0.157190635451505,0
Other,1,Other,268.0,Other,0,0,1,1,1,1,0,0,0,0,0.0267558528428093,0
Other,0,Other,268.0,Other,0,1,0,0,0,0,1,0,0,0,0.0100334448160535,0
Other,1,Other,293.0,Other,0,1,1,1,1,0,0,0,0,0,0.0635451505016722,0
Other,1,Other,268.0,Other,0,0,1,0,0,0,0,0,0,0,0.0167224080267558,1
Other,1,Other,268.0,Other,0,1,1,1,1,0,1,0,0,0,0.0635451505016722,1
Other,1,Other,268.0,Other,0,0,0,1,0,0,0,0,0,0,0.0133779264214046,0
Other,1,Other,268.0,Other,0,0,0,1,0,0,0,0,0,0,0.0167224080267558,0
Other,1,Other,277.0,Other,1,1,1,1,0,0,1,1,1,0,0.0969899665551839,1
Other,0,Other,268.0,Other,0,0,1,0,0,0,1,0,0,0,0.0033444816053511,0
Other,1,Other,268.0,Other,0,1,0,0,0,0,0,0,0,0,0.0133779264214046,1
Other,0,Other,268.0,Other,0,0,0,0,1,0,1,0,0,0,0.0167224080267558,0
Other,1,Other,219.0,Other,0,0,1,1,0,0,1,0,0,0,0.0334448160535117,0
Other,1,Other,268.0,Other,0,0,0,1,0,0,1,0,0,0,0.0234113712374581,0
Other,0,Other,268.0,Other,0,0,0,1,0,0,1,0,0,0,0.0066889632107023,0
Other,1,Other,253.0,Other,0,0,0,0,0,0,0,0,0,0,0.0,0
Other,0,Other,268.0,Other,0,1,1,0,0,0,1,0,0,0,0.0468227424749163,1
Other,1,Other,282.0,Other,0,1,1,1,1,1,0,6,1,0,0.217391304347826,0
Other,0,Other,268.0,Other,0,0,0,1,0,0,0,0,0,0,0.0100334448160535,0
Other,0,Other,185.0,Other,0,0,0,0,0,1,1,0,0,0,0.170568561872909,1
Other,1,Other,260.0,Other,0,0,0,0,0,0,0,0,0,0,0.0,0
Other,0,Other,268.0,Other,0,1,1,1,1,0,1,0,0,0,0.020066889632107,0
Other,1,Other,268.0,Other,0,1,0,0,0,0,1,0,0,0,0.0133779264214046,0
Other,0,Other,268.0,Other,1,1,0,0,1,0,0,0,0,0,0.0133779264214046,0
Other,1,Other,268.0,Other,0,1,0,0,0,0,0,0,0,0,0.020066889632107,0
Other,1,Other,268.0,Other,0,0,0,0,0,0,1,0,0,0,0.0033444816053511,0
Other,1,Other,268.0,Other,0,0,1,1,1,0,0,0,0,0,0.0535117056856187,0
Other,1,Other,285.0,Other,1,1,1,0,0,0,0,0,0,0,0.103678929765886,1
Other,1,Other,268.0,Other,0,0,0,1,1,0,1,0,0,0,0.0267558528428093,0
Other,0,Other,268.0,Other,1,1,1,0,0,1,1,0,0,0,0.0434782608695652,0
Other,0,Other,268.0,Other,0,0,0,0,0,0,0,0,0,0,0.0,0
Other,1,Other,181.0,Other,0,0,0,0,0,0,1,0,0,0,0.0501672240802675,1
Other,1,Other,268.0,Other,0,0,1,1,0,0,0,0,0,0,0.0267558528428093,0
Other,0,Other,293.0,Other,0,1,1,1,0,0,0,0,0,0,0.11705685618729,0
Other,1,Other,268.0,Other,0,0,1,1,0,0,1,0,0,0,0.0234113712374581,0
Other,1,Other,240.0,Other,0,0,1,1,0,0,0,0,0,0,0.153846153846153,0
Other,1,Other,268.0,Other,0,0,0,0,0,0,1,0,0,0,0.0468227424749163,1
Other,0,Other,268.0,Other,0,0,0,1,0,0,0,0,0,0,0.0100334448160535,0
Other,1,Other,286.0,Other,0,1,1,1,1,0,0,0,0,0,0.0501672240802675,0
Other,1,Other,268.0,Other,0,0,1,0,1,0,0,0,0,0,0.0568561872909698,0
Other,1,Other,268.0,Other,1,0,0,0,0,0,1,0,0,0,0.0635451505016722,1
Other,1,Other,285.0,Other,0,1,1,1,1,0,0,5,1,0,0.137123745819397,0
Other,0,Other,268.0,Other,0,0,0,1,0,0,1,0,0,0,0.0100334448160535,0
Other,1,Other,268.0,Other,0,0,1,0,0,0,1,0,0,0,0.0167224080267558,0
Other,0,Other,268.0,Other,0,0,1,1,1,0,0,0,0,0,0.0869565217391304,1
Other,1,Other,240.0,Other,1,1,1,1,1,1,1,0,0,0,0.147157190635451,1
Other,0,Other,268.0,Other,0,0,0,1,0,0,0,0,0,0,0.0066889632107023,0
Other,1,Other,268.0,Other,0,0,1,0,0,0,1,0,0,0,0.0133779264214046,1
Other,1,Other,241.0,Other,0,0,0,1,0,0,0,0,0,0,0.0100334448160535,0
Other,1,Other,268.0,Other,0,0,0,1,0,0,0,0,0,0,0.0702341137123745,1
Other,0,Other,268.0,Other,0,0,0,1,0,0,1,0,0,0,0.0367892976588628,0
Other,1,Other,268.0,Other,0,1,1,1,0,0,0,0,0,0,0.0668896321070234,0
Other,0,Other,268.0,Other,0,0,1,0,0,0,0,0,0,0,0.0033444816053511,0
Other,1,Other,268.0,Other,0,0,0,1,0,0,0,0,0,0,0.020066889632107,0
Other,1,Other,268.0,Other,0,1,0,0,0,0,0,0,0,0,0.0,0
Other,1,Other,268.0,Other,1,0,0,0,0,0,0,0,0,0,0.0100334448160535,1
Other,1,Other,268.0,Other,0,0,0,0,0,0,0,0,0,0,0.0,1
Other,1,Other,268.0,Other,0,0,0,1,0,0,0,0,0,0,0.0100334448160535,0
Other,1,Other,268.0,Other,0,0,1,0,0,0,0,0,0,0,0.020066889632107,0
Other,1,Other,268.0,Other,0,0,0,1,0,0,1,0,0,0,0.0133779264214046,1
Other,0,Other,268.0,Other,0,0,0,0,0,0,1,0,0,0,0.0936454849498327,1
Other,1,Other,268.0,Other,0,0,0,1,0,0,0,0,0,0,0.0133779264214046,0
Other,1,Other,268.0,Other,1,1,1,1,1,1,1,0,0,1,0.511705685618729,0
Other,1,Other,268.0,Other,0,0,1,0,0,0,1,0,0,0,0.0033444816053511,0
Other,1,Other,268.0,Other,0,0,0,1,0,0,1,0,0,0,0.0133779264214046,0
Other,1,Other,268.0,Other,1,1,1,1,1,0,1,0,0,0,0.153846153846153,0
Other,0,Other,296.0,Other,0,1,1,1,0,0,0,0,0,0,0.0501672240802675,0
Other,1,Other,268.0,Other,0,1,1,0,0,0,0,0,0,0,0.0100334448160535,0
Other,1,Other,268.0,Other,0,0,0,0,0,0,0,11,1,1,0.605351170568561,1
Other,0,Other,281.0,Other,0,0,1,0,1,0,0,0,0,0,0.187290969899665,0
Other,0,Other,268.0,Other,1,1,1,1,1,0,1,0,0,0,0.0869565217391304,0
Other,0,Other,268.0,Other,0,0,0,0,0,0,0,0,0,0,0.020066889632107,0
Other,1,Other,268.0,Other,0,0,1,0,0,0,1,0,0,0,0.0535117056856187,0
Other,1,Other,280.0,Other,0,1,1,1,1,0,0,0,0,0,0.103678929765886,0
Other,1,Other,268.0,Other,0,1,1,1,0,0,1,0,0,0,0.130434782608695,1
Other,1,Other,268.0,Other,0,0,0,1,0,0,1,0,0,0,0.0100334448160535,0
Other,1,Other,268.0,Other,0,1,0,0,0,0,0,0,0,0,0.0100334448160535,1
Other,1,Other,235.0,Other,0,1,1,1,1,0,1,0,0,0,0.147157190635451,0
Other,1,Other,268.0,Other,0,1,1,1,1,0,1,0,0,0,0.0367892976588628,0
Other,1,Other,268.0,Other,0,0,0,0,0,0,0,9,1,1,0.501672240802675,1
Other,0,Other,268.0,Other,0,0,0,0,1,0,0,0,0,0,0.0066889632107023,0
Other,1,Other,268.0,Other,0,0,0,1,1,0,1,0,0,0,0.0167224080267558,0
Other,1,Other,268.0,Other,0,0,0,1,0,0,1,0,0,0,0.0033444816053511,0
Other,0,Other,268.0,Other,0,1,1,1,1,0,0,0,0,1,0.745819397993311,0
Other,0,Other,268.0,Other,0,0,1,1,1,0,0,0,0,0,0.0869565217391304,0
Other,0,Other,268.0,Other,0,1,1,0,1,0,0,0,0,0,0.0535117056856187,1
Other,1,Other,279.0,Other,1,1,1,1,1,0,0,0,0,0,0.120401337792642,1
Other,1,Other,268.0,Other,0,0,0,1,1,0,1,0,0,0,0.0234113712374581,0
Other,0,Other,268.0,Other,0,1,0,1,0,0,0,0,0,0,0.020066889632107,0
Other,0,Other,268.0,Other,0,0,0,1,0,1,1,0,0,0,0.0434782608695652,0
Other,0,Other,268.0,Other,1,0,0,0,0,0,0,0,0,0,0.0066889632107023,0
Other,1,Other,268.0,Other,1,1,1,1,1,1,1,0,0,0,0.0802675585284281,0
Other,0,Other,268.0,Other,0,1,1,1,0,0,1,0,0,0,0.0836120401337792,0
Other,1,Other,278.0,Other,0,1,0,0,1,0,1,0,0,0,0.0635451505016722,1
Other,1,Other,268.0,Other,0,1,1,1,0,0,0,0,0,0,0.0234113712374581,0
Other,0,Other,268.0,Other,0,0,0,1,0,0,1,0,0,0,0.0066889632107023,0
Other,1,Other,268.0,Other,0,0,0,0,0,0,1,0,0,0,0.0066889632107023,0
Other,1,Other,268.0,Other,0,1,1,1,1,0,1,0,0,0,0.170568561872909,0
Other,1,Other,268.0,Other,1,1,1,1,0,0,1,0,0,0,0.0367892976588628,1
Other,1,Other,268.0,Other,0,0,1,1,0,0,1,0,0,0,0.0267558528428093,0
Other,1,Other,268.0,Other,0,0,0,0,0,0,1,0,0,0,0.0267558528428093,0
Other,1,Other,268.0,Other,0,0,1,1,1,1,0,0,0,0,0.0267558528428093,0
Other,1,Other,268.0,Other,0,0,0,0,1,0,0,0,0,0,0.0033444816053511,0
Other,1,Other,268.0,Other,0,0,0,1,0,0,1,0,0,0,0.020066889632107,0
Other,0,Other,268.0,Other,0,0,0,1,0,0,0,0,0,0,0.0234113712374581,0
Other,1,Other,172.0,Other,0,0,0,1,1,1,1,4,1,0,0.210702341137123,1
Other,0,Other,268.0,Other,0,0,0,1,0,0,0,0,0,0,0.0100334448160535,0
Other,0,Other,268.0,Other,0,0,0,1,1,0,1,0,0,0,0.020066889632107,0
Other,1,Other,296.0,Other,0,1,0,0,0,0,0,0,0,0,0.0167224080267558,0
Other,1,Other,268.0,Other,0,0,1,1,1,0,0,0,0,0,0.0267558528428093,0
Other,1,Other,268.0,Other,1,0,0,0,0,0,0,0,0,0,0.0334448160535117,1
Other,1,Other,268.0,Other,1,0,1,1,0,0,0,0,0,0,0.130434782608695,0
Other,0,Other,268.0,Other,1,1,1,1,0,0,0,0,0,0,0.267558528428093,1
Other,1,Other,170.0,Other,0,0,1,0,0,1,1,3,1,1,0.474916387959866,1
Other,1,Other,268.0,Other,0,0,0,0,1,0,1,0,0,0,0.123745819397993,0
Other,0,Other,268.0,Other,0,1,0,1,0,0,0,1,1,0,0.020066889632107,0
Other,1,Other,268.0,Other,0,1,0,0,0,0,1,0,0,0,0.0267558528428093,1
Other,0,Other,268.0,Other,0,0,1,1,0,1,0,0,0,0,0.0367892976588628,0
Other,1,Other,258.0,Other,1,1,1,1,1,1,1,0,0,0,0.247491638795986,1
Other,0,Other,268.0,Other,0,0,1,1,0,0,0,0,0,0,0.127090301003344,0
Other,0,Other,172.0,Other,0,0,0,0,1,1,1,10,1,0,0.0936454849498327,1
Other,1,Other,268.0,Other,0,0,1,1,1,0,1,0,0,0,0.0468227424749163,0
Other,0,Other,268.0,Other,1,1,1,1,1,0,0,0,0,0,0.0301003344481605,0
Other,0,Other,268.0,Other,0,1,1,1,1,0,0,0,0,0,0.127090301003344,0
Other,1,Other,246.0,Other,1,1,1,1,1,1,1,1,1,0,0.170568561872909,1
Other,0,Other,289.0,Other,1,1,1,1,1,0,1,4,1,0,0.23076923076923,0
Other,1,Other,268.0,Other,0,0,1,0,0,0,1,0,0,0,0.167224080267558,0
Other,0,Other,268.0,Other,0,0,0,1,0,0,0,0,0,0,0.0066889632107023,0
Other,1,Other,285.0,Other,0,0,1,0,0,0,0,0,0,0,0.0100334448160535,1
Other,0,Other,268.0,Other,0,0,0,1,0,0,1,0,0,0,0.0100334448160535,0
Other,0,Other,268.0,Other,0,1,0,0,0,0,1,0,0,0,0.0066889632107023,0
Other,0,Other,116.0,Other,0,0,0,0,0,1,1,0,0,0,0.1438127090301,1
Other,0,Other,268.0,Other,1,1,1,1,1,1,0,0,0,0,0.177257525083612,0
Other,0,Other,268.0,Other,0,1,1,1,0,1,0,0,0,0,0.0501672240802675,0
Other,1,Other,268.0,Other,0,0,1,1,1,0,1,0,0,0,0.214046822742474,0
Other,0,Other,268.0,Other,0,1,0,0,0,0,0,0,0,0,0.0033444816053511,1
Other,0,Other,276.0,Other,0,0,1,1,1,1,0,0,0,0,0.113712374581939,0
Other,0,Other,268.0,Other,0,0,1,0,0,0,1,0,0,0,0.0167224080267558,0
Other,0,Other,268.0,Other,0,0,0,1,0,0,1,0,0,0,0.0267558528428093,0
Other,0,Other,268.0,Other,0,0,1,1,0,0,0,0,0,0,0.0066889632107023,0
Other,1,Other,286.0,Other,0,1,1,1,1,0,0,0,0,0,0.113712374581939,0
Other,0,Other,268.0,Other,0,0,0,1,0,0,1,0,0,0,0.0033444816053511,0
Other,0,Other,298.0,Other,0,1,1,1,1,1,1,0,0,0,0.113712374581939,0
Other,1,Other,268.0,Other,0,0,0,0,0,0,1,0,0,0,0.0066889632107023,0
