actual,pred,alive,title,male,culture,dateOfBirth,house,book1,book2,book3,book4,book5,isMarried,isNoble,numDeadRelations,boolDeadRelations,isPopular,popularity,target
1,1,0.813,Other,1,Other,268.0,Other,0,1,1,0,0,0,0,0,0,0,0.020066889632107,0
1,1,0.745,Other,1,Other,268.0,Other,0,0,1,0,0,0,0,0,0,0,0.0100334448160535,0
1,1,0.736,Other,1,Other,268.0,Other,0,0,0,0,0,0,1,0,0,0,0.0133779264214046,0
1,1,0.659,Other,1,Other,268.0,Other,0,0,0,1,1,0,1,0,0,0,0.0802675585284281,0
0,1,0.525,Other,1,Other,286.0,Other,1,1,1,1,1,1,0,0,0,0,0.133779264214046,1
1,0,0.375,Other,1,Other,268.0,Other,1,1,1,1,1,0,1,0,0,0,0.0434782608695652,0
1,1,0.986,Other,0,Other,268.0,Other,0,0,1,1,0,0,0,0,0,0,0.020066889632107,0
1,0,0.201,Other,1,Other,268.0,Other,0,0,0,0,0,0,1,0,0,0,0.157190635451505,0
1,1,0.989,Other,1,Other,268.0,Other,0,0,1,1,1,1,0,0,0,0,0.0267558528428093,0
1,1,0.985,Other,0,Other,268.0,Other,0,1,0,0,0,0,1,0,0,0,0.0100334448160535,0
1,0,0.213,Other,1,Other,293.0,Other,0,1,1,1,1,0,0,0,0,0,0.0635451505016722,0
0,0,0.014,Other,1,Other,268.0,Other,0,0,1,0,0,0,0,0,0,0,0.0167224080267558,1
0,1,0.712,Other,1,Other,268.0,Other,0,1,1,1,1,0,1,0,0,0,0.0635451505016722,1
1,1,0.996,Other,1,Other,268.0,Other,0,0,0,1,0,0,0,0,0,0,0.0133779264214046,0
1,1,0.997,Other,1,Other,268.0,Other,0,0,0,1,0,0,0,0,0,0,0.0167224080267558,0
0,0,0.452,Other,1,Other,277.0,Other,1,1,1,1,0,0,1,1,1,0,0.0969899665551839,1
1,1,0.811,Other,0,Other,268.0,Other,0,0,1,0,0,0,1,0,0,0,0.0033444816053511,0
0,0,0.427,Other,1,Other,268.0,Other,0,1,0,0,0,0,0,0,0,0,0.0133779264214046,1
1,1,0.946,Other,0,Other,268.0,Other,0,0,0,0,1,0,1,0,0,0,0.0167224080267558,0
1,1,0.97,Other,1,Other,219.0,Other,0,0,1,1,0,0,1,0,0,0,0.0334448160535117,0
1,1,0.841,Other,1,Other,268.0,Other,0,0,0,1,0,0,1,0,0,0,0.0234113712374581,0
1,1,0.971,Other,0,Other,268.0,Other,0,0,0,1,0,0,1,0,0,0,0.0066889632107023,0
1,1,0.759,Other,1,Other,253.0,Other,0,0,0,0,0,0,0,0,0,0,0.0,0
0,0,0.233,Other,0,Other,268.0,Other,0,1,1,0,0,0,1,0,0,0,0.0468227424749163,1
1,0,0.446,Other,1,Other,282.0,Other,0,1,1,1,1,1,0,6,1,0,0.217391304347826,0
1,1,0.982,Other,0,Other,268.0,Other,0,0,0,1,0,0,0,0,0,0,0.0100334448160535,0
0,0,0.001,Other,0,Other,185.0,Other,0,0,0,0,0,1,1,0,0,0,0.170568561872909,1
1,1,0.824,Other,1,Other,260.0,Other,0,0,0,0,0,0,0,0,0,0,0.0,0
1,1,0.989,Other,0,Other,268.0,Other,0,1,1,1,1,0,1,0,0,0,0.020066889632107,0
1,1,0.702,Other,1,Other,268.0,Other,0,1,0,0,0,0,1,0,0,0,0.0133779264214046,0
1,1,0.969,Other,0,Other,268.0,Other,1,1,0,0,1,0,0,0,0,0,0.0133779264214046,0
1,0,0.499,Other,1,Other,268.0,Other,0,1,0,0,0,0,0,0,0,0,0.020066889632107,0
1,1,0.719,Other,1,Other,268.0,Other,0,0,0,0,0,0,1,0,0,0,0.0033444816053511,0
1,1,0.76,Other,1,Other,268.0,Other,0,0,1,1,1,0,0,0,0,0,0.0535117056856187,0
0,0,0.295,Other,1,Other,285.0,Other,1,1,1,0,0,0,0,0,0,0,0.103678929765886,1
1,1,0.835,Other,1,Other,268.0,Other,0,0,0,1,1,0,1,0,0,0,0.0267558528428093,0
